date,JOHNSON CONTROLS INTERNATIONAL PLC,ALPHABET INC,AMGEN INC,AUTOZONE INC,BALL CORP,CHIPOTLE MEXICAN GRILL INC,COCA-COLA,EXXON MOBIL CORP,INTUITIVE SURGICAL INC,iShares Gold Trust,iShares Core S&P 500,iShares iBoxx $ Investment Grade Corporate Bond,iShares TIPS Bond,iShares Core S&P Mid-Cap ETF,iShares MSCI EAFE,iShares Russell 1000 Growth ETF,iShares Russell 1000 Growth ETF,iShares Core S&P Small-Cap ETF,iShares National Muni Bond ETF,Shares J.P. Morgan USD Emerging Markets Bond,iShares iBoxx $ High Yield Corporate Bond ETF,iShares MBS ETF ,iShares 3-7 Year Treasury Bond,iShares 1-3 Year Credit Bond,KELLOGG,MARATHON PETROLEUM CORP,NEWMONT MINING CORP,PAYPAL HOLDINGS INC,iShares 20+ Year Treasury Bond,iShares Core MSCI Emerging Markets
2019-03-29,36.256897,1173.310059,185.798737,1024.119995,57.480324,710.309998,45.817299,77.963036,570.580017,12.38,279.632721,115.760971,111.084358,186.855988,62.783062,120.979691,150.139145,76.238342,108.978561,105.93679,82.931007,103.995575,121.172653,82.653519,55.760559,58.094151,34.506905,103.839996,124.076241,50.044716
2019-04-01,36.23727,1194.430054,187.549332,1029.709961,58.016781,705.73999,45.68042,78.86039,575.539978,12.32,282.865753,115.329903,110.671738,189.391495,63.586491,122.351234,151.79567,77.177124,108.777229,106.124306,82.910789,103.624054,120.708549,82.568855,54.438942,59.258945,34.352551,105.550003,122.313866,50.818954
2019-04-02,35.825035,1200.48999,188.194794,1041.97998,57.599537,704.799988,45.533752,78.522659,575.97998,12.37,282.93454,115.485939,110.779793,188.661407,63.605843,122.096512,152.202377,76.742317,108.865623,106.191956,82.94931,103.692673,120.866203,82.608223,54.759624,58.162098,34.564785,105.230003,122.540054,50.644753
2019-04-03,35.344093,1205.920044,188.674026,1045.530029,57.639275,705.640015,45.152431,78.059517,576.26001,12.35,283.445557,115.242142,110.435951,189.608521,64.099518,122.233665,152.747925,77.117836,108.718292,105.950317,82.978203,103.604454,120.698692,82.568855,55.060875,58.608601,34.680546,104.690002,121.477936,51.012512
2019-04-04,35.471691,1215,188.097015,1040.689941,57.619404,703.380005,45.445755,79.169144,570.280029,12.38,284.123596,115.427437,110.514542,190.614838,63.963997,122.654938,152.817368,77.730507,108.708458,105.921318,83.103439,103.692673,120.75782,82.588524,54.856804,59.550148,35.19183,104.459999,121.822144,51.302849
2019-04-05,35.520767,1207.150024,191.109222,1048.52002,57.728683,708.369995,45.435978,79.593689,575.719971,12.37,285.420776,115.612724,110.642258,192.074951,64.128555,123.213348,153.620834,78.412346,108.76738,106.336929,83.257561,103.810303,120.787369,82.578697,55.196926,61.607948,35.211121,105.730003,121.979492,51.660938
2019-04-08,35.726887,1203.839966,190.590897,1052.540039,57.818089,714.679993,45.514198,80.085785,578.340027,12.43,285.735199,115.446945,110.53421,192.074951,64.167274,123.291718,153.858902,78.353058,108.698654,105.911659,83.209412,103.722084,120.678993,82.558998,55.877167,61.501179,35.365475,106.57,121.546776,51.622223
2019-04-09,35.206684,1197.25,188.732712,1040.400024,57.261768,710.669983,45.631527,79.053352,579.380005,12.48,284.261139,115.690742,110.642258,189.973541,63.760727,122.498192,153.11496,77.374756,108.84597,105.979317,83.151596,103.780907,120.787369,82.568855,55.546764,60.33638,35.30759,106.93,121.930328,51.583511
2019-04-10,35.157608,1202.160034,189.622665,1060.170044,57.867764,718.849976,45.602196,78.696342,585.890015,12.52,285.194702,116.256378,111.045059,191.660583,64.002724,122.899849,153.779556,78.550697,108.924545,106.191956,83.517654,103.937737,120.95488,82.637756,55.925758,61.734135,34.989246,107.510002,122.225372,51.815784
2019-04-11,35.147797,1204.619995,187.881851,1068.569946,58.235336,707.530029,45.670639,79.072655,584.630005,12.37,285.175079,116.139336,110.789612,192.232803,63.867203,123.046799,153.650589,78.392586,108.895073,105.805351,83.642891,103.84951,120.787369,82.588524,55.7314,61.258514,34.699841,106.459999,121.507446,51.331886
2019-04-12,35.412807,1217.869995,187.207047,1060.300049,57.649208,712.440002,45.699974,78.078819,582.849976,12.35,287.101105,116.071075,110.583321,193.732376,64.312469,123.997086,154.523499,78.748337,108.698654,105.795677,83.768112,103.643669,120.462212,82.539307,55.945194,59.783104,34.969952,108.480003,120.641975,51.631901
2019-04-15,35.923187,1221.099976,186.991882,1064.589966,57.957172,712.27002,45.954182,77.818298,576.809998,12.33,286.865295,115.885796,110.642258,193.396942,64.341515,123.712982,154.563187,78.441994,108.84597,105.863342,83.71032,103.722084,120.541023,82.549149,56.703178,58.763908,34.892773,108.139999,120.946854,51.438347
2019-04-16,36.178379,1227.130005,183.911194,1061.589966,57.182297,706.47998,45.905296,78.348984,561.429993,12.23,287.081512,115.563957,110.386826,193.505463,64.3899,123.957893,154.51358,78.758209,108.787041,105.660362,83.662148,103.545639,120.334106,82.539307,56.74205,58.259167,34.398403,108.199997,120.18959,51.83514
2019-04-17,35.913372,1236.339966,178.45401,1051.369995,56.675636,688.210022,46.227951,78.570915,525,12.21,286.324799,115.544464,110.36718,192.124283,64.573822,123.52684,154.09697,78.402466,108.82634,105.757027,83.459877,103.61425,120.393234,82.568855,56.45052,58.47271,33.795273,108.809998,120.238762,51.980309
2019-04-18,36.070415,1236.369995,173.564056,1045.050049,58.12606,700,46.4235,78.281448,528.059998,12.22,286.943909,115.641983,110.681564,192.499161,64.535103,123.644402,154.454071,78.125778,108.895073,105.844017,83.49839,103.633865,120.541023,82.588524,56.800358,58.055328,32.668106,107.360001,120.868187,51.893208
2019-04-22,35.972263,1248.839966,172.478485,1035.199951,58.324745,701.669983,46.345287,79.989296,491.059998,12.21,287.238678,115.45668,110.573502,191.887497,64.428627,123.507248,154.860748,77.720627,108.924545,105.766685,83.353897,103.565239,120.481903,82.598381,56.712898,59.336597,32.183617,106.809998,120.287933,51.602867
2019-04-23,36.276527,1264.550049,175.803665,1047.76001,59.109562,702.460022,47.13726,80.452446,500.420013,12.18,289.734711,115.934532,110.828918,194.284851,64.554466,124.310577,156.64624,78.866913,109.071877,106.085632,83.642891,103.594658,120.639557,82.637756,56.780922,59.268658,32.005642,106.900002,120.543625,51.719002
2019-04-24,36.41394,1256,174.375793,1042.599976,58.5135,709.75,46.91238,78.889328,508.140015,12.22,289.125458,116.324623,111.212074,194.906387,64.1092,124.104851,156.289139,79.113953,109.317436,105.786026,83.527298,103.741692,120.915474,82.686981,56.916969,57.754421,31.837559,107.220001,121.527092,50.964123
2019-04-25,35.972263,1263.449951,176.507813,1042.349976,58.573109,678.070007,46.775497,79.333176,517.780029,12.23,288.948578,116.266113,111.212074,192.607697,64.060799,123.859924,156.318893,78.29377,109.346886,105.930977,83.565826,103.751495,120.816925,82.686981,56.304752,58.870686,31.273972,110.220001,121.350075,50.906055
2019-04-26,36.502277,1272.180054,177.476028,1033.550049,59.30825,676.789978,47.186142,77.663918,519.109985,12.3,290.353821,116.675713,111.45768,194.501892,64.322144,124.369354,157.291,78.995377,109.504028,105.863342,83.777748,103.957359,121.063286,82.775589,57.723545,58.618305,31.105886,110.559998,121.763138,51.118973
2019-04-29,36.629875,1287.579956,177.182632,1022.5,59.238712,677.900024,47.342583,77.162178,510.339996,12.25,290.668304,116.217377,111.143295,194.590714,64.583504,124.5457,157.400101,79.380768,109.464745,105.96965,83.73922,103.859314,120.935173,82.746063,57.956772,59.200706,30.413767,112.440002,120.986198,51.206074
2019-04-30,36.806545,1188.47998,175.373352,1028.310059,59.546673,688.039978,47.968349,77.461288,510.630005,12.29,290.815704,116.266113,111.329971,194.245407,64.622223,125.153107,156.804947,79.183136,109.553139,106.124306,83.748848,103.898537,121.112556,82.805122,58.598145,59.084225,30.710388,112.769997,121.605782,51.138329
2019-05-01,38.563446,1168.079956,172.263336,1023.900024,58.285007,688.559998,47.508804,75.907814,497.049988,12.21,288.712738,116.228958,111.089195,192.065079,64.254387,124.212616,155.753494,78.471642,109.626945,106.094208,83.474121,103.969284,120.982254,82.73214,57.713825,58.191219,29.97872,110.940002,122.107407,50.760887
2019-05-02,38.259178,1162.609985,172.615417,1038.310059,59.606285,707.869995,47.313255,74.576271,502.109985,12.17,288.182098,115.808357,110.637123,192.558365,64.157593,123.967697,155.535278,78.718689,109.587601,105.929222,83.532166,103.831718,120.774918,82.692673,55.760559,56.968182,29.761196,109.699997,121.525948,50.906055
2019-05-03,38.848083,1185.400024,173.407578,1033.380005,61.136177,709.52002,47.635914,74.749954,507.940002,12.23,290.884491,116.326782,110.94178,195.340469,64.844856,124.966957,157.251328,80.270142,109.705696,106.53093,83.74498,104.018425,120.86377,82.722282,54.87624,58.20092,29.879841,111.959999,121.870895,51.525448
2019-05-06,38.857895,1189.390015,173.163086,1030.640015,61.543488,716.669983,47.391476,74.421883,508.480011,12.25,289.793701,116.483261,111.108849,195.04451,64.1092,124.477127,156.64624,80.408478,109.843491,106.511513,83.783684,104.057732,121.071083,82.771584,55.779995,57.744717,29.602997,110.849998,122.205963,50.470551
2019-05-07,38.524185,1174.099976,170.043289,1015.359985,61.563354,706.52002,46.931934,74.026283,491.309998,12.29,284.890076,116.47348,111.167824,191.147583,62.98634,122.654938,153.769638,78.936081,110.02066,105.948639,83.28064,104.136345,121.278397,82.81105,55.537048,57.686474,30.374214,108.949997,123.14222,49.483398
2019-05-08,38.651779,1166.27002,168.361145,1005.599976,61.543488,709.570007,46.785271,74.142067,495.700012,12.26,284.506836,116.082237,110.882828,190.604965,63.063778,122.302246,153.650589,78.30365,109.912392,106.065094,83.309662,104.077393,121.15007,82.801178,55.634228,53.609692,29.860069,109.07,122.610039,49.454361
2019-05-09,38.857895,1162.380005,169.065292,1004.47998,61.960728,705.130005,46.345287,74.074532,496.059998,12.3,283.720703,116.189842,111.069534,190.05249,62.773384,122.096512,153.243912,78.125778,110.119087,105.744835,83.183899,104.116692,121.357376,82.850494,56.158985,51.406284,29.593109,109.730003,123.112648,48.641411
2019-05-10,38.946232,1164.27002,168.067749,1000.590027,63.887997,705.440002,47.117702,74.718651,495.309998,12.32,284.978546,116.258301,111.315224,190.683884,63.238014,122.772499,153.581177,78.382706,110.128937,106.103905,83.416077,104.224777,121.308014,82.870209,56.984997,51.590714,29.810631,110.410004,122.945122,48.941429
2019-05-13,38.376957,1132.030029,163.911301,982.559998,63.987347,687.27002,46.980824,73.889099,478.75,12.44,277.903198,116.326782,111.551094,185.109787,61.766689,120.313515,149.048019,75.932007,110.384834,105.249878,82.651863,104.362366,121.742386,82.968849,56.149269,49.232002,30.562075,106.830002,123.910934,47.315533
2019-05-14,38.524185,1120.439941,164.116669,989.799988,63.023708,703.179993,47.606579,73.986687,487.350006,12.42,280.379578,116.493042,111.6297,186.974396,62.386189,121.254005,150.625198,76.742317,110.434052,105.579849,82.835655,104.421333,121.683144,82.968849,55.556484,49.804699,30.482977,109.089996,123.546295,47.944603
2019-05-15,38.327881,1164.209961,166.131317,978.359985,62.099808,705.890015,48.085678,74.533234,489.140015,12.4,282.059967,116.815819,111.855736,187.467682,62.608829,121.400963,152.10318,76.880676,110.640762,105.96804,82.913048,104.539238,121.939835,83.02803,55.750839,50.206818,30.344553,111.5,124.305138,48.041378
2019-05-16,38.455479,1178.97998,167.610931,981.340027,62.159416,708.929993,48.476776,74.523468,491.730011,12.32,284.546173,116.629982,111.678841,188.582489,63.112171,122.370827,153.680344,77.177124,110.611221,105.98745,83.164566,104.480301,121.811485,82.978699,55.779995,51.844746,30.206131,113.870003,123.89122,47.828465
2019-05-17,38.229733,1162.300049,167.601089,984.090027,62.159416,715.909973,48.105232,74.08429,490.140015,12.22,282.914886,116.639755,111.57074,186.490967,62.695942,121.763435,152.480118,75.922127,110.660431,105.744835,83.135529,104.440979,121.84111,82.998444,55.410717,50.952221,30.571964,112.800003,124.167175,46.986481
2019-05-20,38.367142,1138.849976,166.10173,977.830017,61.632896,718,47.76302,74.074532,483.220001,12.22,281.028137,116.365906,111.423325,185.090057,62.444275,121.342171,150.873199,75.388512,110.621071,106.220383,83.058151,104.313232,121.673279,82.959,54.847084,51.118954,30.819151,112.150002,123.910934,46.792923
2019-05-21,38.759747,1149.630005,167.384079,1032.25,61.990536,715,47.518581,74.416115,483.559998,12.19,283.484863,116.463707,111.482292,187.507141,62.860504,122.361038,152.361099,76.396461,110.493118,106.346535,83.319336,104.323067,121.535072,82.919533,54.944263,52.256676,30.987238,112.43,123.713829,47.441349
2019-05-22,38.484921,1151.420044,168.972183,1043.930054,61.096436,706.039978,48.545219,73.742706,485.369995,12.19,282.66922,116.610413,111.521606,185.997696,62.608829,121.851601,151.954391,75.645439,110.591537,106.2883,83.387054,104.431152,121.80162,82.959,55.226082,50.922798,30.967463,112.470001,124.423409,47.18972
2019-05-23,38.043243,1140.77002,169.771179,1034.819946,60.649391,667.119995,48.740765,72.015282,473.779999,12.28,279.141418,116.864723,111.757469,182.899857,62.037716,120.50946,149.891174,73.846947,110.650589,106.142723,82.971077,104.63752,122.25573,83.106941,55.478741,49.176983,31.283859,109.900002,125.822884,46.541298
